age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
59,0,1,1,0,0.1043713302517859,1,0,2,5,8,0.2681103377159062,1,-1,0,3,1
56,0,1,1,0,0.07827281916162224,0,0,2,5,8,0.37767465841711784,1,-1,0,3,1
41,9,1,1,0,0.09218521084371557,1,0,2,5,8,0.35756638308842487,1,-1,0,3,1
55,7,1,1,0,0.10588181849155603,1,0,2,5,8,0.14874967775199793,1,-1,0,3,1
54,0,1,2,0,0.07985144972799854,0,0,2,5,8,0.17298272750708946,2,-1,0,3,1
42,4,2,2,0,0.07776175171207596,1,1,2,5,8,0.14436710492394947,2,-1,0,3,1
56,4,1,2,0,0.08718810689259635,1,1,2,6,8,0.3091002835782418,1,-1,0,3,1
60,5,0,1,0,0.0839513463788032,1,0,2,6,8,0.26501675689610726,1,-1,0,3,1
37,9,1,1,0,0.07777310876651032,1,0,2,6,8,0.15622583139984533,1,-1,0,3,1
28,7,2,1,0,0.13556915878297804,1,0,2,6,8,0.3338489301366332,3,-1,0,3,1
38,0,2,1,0,0.07889745715551215,1,0,2,7,8,0.20211394689352927,1,-1,0,3,1
30,1,1,1,0,0.08127108153229379,1,0,2,7,8,0.4052590873936582,2,-1,0,3,1
29,4,1,2,0,0.08002180554451398,1,1,2,7,8,0.4349059035833978,4,-1,0,3,1
46,1,2,2,0,0.08298599675188244,1,0,2,7,8,0.28357824181490077,2,-1,0,3,1
31,9,2,2,0,0.08574576097943237,1,0,2,8,8,0.2425882959525651,2,-1,0,3,1
35,4,0,2,0,0.12133876957672259,1,0,2,8,8,0.27893787058520236,1,-1,0,3,1
32,1,2,0,0,0.08470091197147109,1,0,2,8,8,0.13895333848930136,3,-1,0,3,1
49,7,1,1,0,0.07767089527660107,1,0,2,8,8,0.2879608146429492,1,-1,0,3,1
41,0,1,1,0,0.07838638970596586,1,0,2,8,8,0.2882186130445991,2,-1,0,3,1
49,0,0,1,0,0.07966973685704876,1,1,2,8,8,0.1317349832431039,1,-1,0,3,1
28,0,0,1,0,0.08667703944305005,1,0,2,8,8,0.1134312967259603,2,-1,0,3,1
43,4,2,2,0,0.10123678322790201,1,0,2,8,8,0.19437999484403198,1,-1,0,3,1
43,4,0,2,0,0.08216828883260838,1,0,2,8,8,0.5375096674400619,2,-1,0,3,1
43,1,1,0,0,0.07558119726067847,1,0,2,8,8,0.2882186130445991,2,-1,0,3,1
37,10,2,1,0,0.08208878945156785,1,0,2,8,8,0.2534158288218613,2,-1,0,3,1
35,1,2,1,0,0.07821603388945043,1,0,2,9,8,0.1585460170146945,4,-1,0,3,1
31,9,2,2,0,0.07801160690963192,1,0,2,9,8,0.1240010311936066,3,-1,0,3,1
43,1,2,1,0,0.07779582287537905,1,0,2,9,8,0.23897911832946636,3,-1,0,3,1
31,0,1,1,0,0.08124836742342506,1,0,2,9,8,0.13817994328435165,1,-1,0,3,1
28,1,2,1,0,0.08638175602775665,1,0,2,9,8,0.18252126836813612,1,-1,0,3,1
32,1,1,1,1,0.0777503946576416,1,0,2,9,8,0.16782675947409126,1,-1,0,3,1
60,9,1,0,0,0.07849996025030948,1,0,2,9,8,0.26450116009280744,2,-1,0,3,1
26,1,2,1,0,0.07869303017569364,1,0,2,9,8,0.16808455787574117,1,-1,0,3,1
40,1,1,1,0,0.07787532225641958,1,0,2,9,8,0.43567929878834755,2,-1,0,3,1
33,1,0,0,0,0.0821910029414771,1,0,2,9,8,0.1709203402938902,2,-1,0,3,1
32,4,2,2,0,0.08129379564116251,0,0,2,12,8,0.1946377932456819,2,-1,0,3,1
35,1,1,0,0,0.08246357224790178,0,0,2,13,8,0.1294147976282547,4,-1,0,3,1
33,4,0,1,0,0.07781853698424776,1,0,2,13,8,0.34648105181747874,1,-1,0,3,1
38,4,1,2,0,0.07911324118976502,1,0,2,13,8,0.14591389533384894,4,-1,0,3,1
23,2,2,0,0,0.07780717992981341,1,0,2,13,8,0.10131477184841454,2,-1,0,3,1
60,1,1,0,0,0.09209435440824068,1,1,2,13,8,0.2611497808713586,1,-1,0,3,1
48,4,1,2,0,0.09989665080464731,1,0,2,13,8,0.17556071152358857,2,-1,0,3,1
45,2,0,2,0,0.07327571521050301,1,0,2,13,8,0.12064965197215778,1,-1,0,3,1
36,1,1,1,0,0.09099272012810758,1,0,2,13,8,0.2575406032482599,4,-1,0,3,1
52,4,1,3,0,0.10320155364504663,1,0,2,13,8,0.21732405259087395,1,-1,0,3,1
35,1,0,0,0,0.08116886804238453,1,0,2,13,8,0.24310389275586491,2,-1,0,3,1
43,9,1,1,0,0.1150696755289548,1,0,2,13,8,0.4431554524361949,2,-1,0,3,1
52,3,1,1,0,0.1223154762580777,1,0,2,14,8,0.24233049755091518,3,-1,0,3,1
53,9,0,0,0,0.09414998126086019,1,0,2,14,8,0.12219644238205724,1,-1,0,3,1
48,1,0,0,0,0.07803432101850065,1,0,2,14,8,0.2139726733694251,1,-1,0,3,1
41,1,2,0,0,0.09613746578687352,1,0,2,14,8,0.3998453209590101,1,-1,0,3,1
39,4,0,2,0,0.08363334885464106,1,1,2,14,8,0.3418406805877804,1,-1,0,3,1
59,5,1,1,0,0.09503583150674041,1,1,2,14,8,0.28950760505284867,2,-1,0,3,1
41,1,1,1,0,0.10982271638027961,1,0,2,14,8,0.22067543181232277,1,-1,0,3,1
48,1,1,1,0,0.09371841319235444,1,0,2,14,8,0.16163959783449344,2,-1,0,3,1
40,0,1,1,0,0.09519483026882147,1,0,2,14,8,0.18097447795823668,1,-1,0,3,1
48,1,1,1,0,0.09588761058931755,1,0,2,14,8,0.1954111884506316,1,-1,0,3,1
60,5,1,0,0,0.09527432964986202,1,0,2,14,8,0.23923691673111627,1,-1,0,3,1
40,9,2,3,0,0.11923771450636564,1,0,2,14,8,0.26450116009280744,2,-1,0,3,1
57,9,1,2,0,0.0777503946576416,0,0,2,14,8,0.2186130445991235,2,-1,0,3,1
51,1,1,1,0,0.15930540255079445,1,0,2,14,8,0.23846352152616654,1,-1,0,3,1
41,1,0,1,0,0.1378519267242848,1,0,2,14,8,0.3663315287445218,3,-1,0,3,1
41,1,1,1,0,0.09347991504923284,1,0,2,15,8,0.29904614591389533,4,-1,0,3,1
52,1,0,0,0,0.07559255431511283,1,0,2,15,8,0.19412219644238207,1,-1,0,3,1
59,1,1,0,0,0.08139600913107177,1,0,2,15,8,0.17865429234338748,1,-1,0,3,1
44,1,1,3,0,0.07941988165949279,1,0,2,15,8,0.1240010311936066,1,-1,0,3,1
49,11,1,0,0,0.08163450727419337,1,1,2,15,8,0.13353957205465328,2,-1,0,3,1
40,7,1,0,0,0.0776595382221667,1,0,2,15,8,0.2366589327146172,2,-1,0,3,1
41,0,1,0,0,0.07428649305516122,1,0,2,15,8,0.12838360402165508,1,-1,0,3,1
44,9,1,2,0,0.12977706102145348,1,0,2,15,8,0.23433874709976799,2,-1,0,3,1
60,7,2,0,0,0.08131650975003124,1,0,2,15,8,0.2366589327146172,2,-1,0,3,1
29,4,1,2,0,0.19787395940988745,0,0,2,15,8,0.3150296468161898,2,-1,0,3,1
41,5,0,0,0,0.07511555802886963,1,0,2,15,8,0.29749935550399587,2,-1,0,3,1
41,1,1,0,0,0.1056206062395657,1,0,2,15,8,0.27068832173240526,1,-1,0,3,1
42,9,2,1,0,0.0932527739605456,1,0,2,15,8,0.48079401907708175,6,-1,0,3,1
36,7,2,3,0,0.08095308400813166,1,0,2,16,8,0.13225058004640372,1,-1,0,3,1
39,9,1,2,0,0.07882931482890598,1,1,2,16,8,0.20907450373807684,1,-1,0,3,1
31,6,2,2,0,0.07939716755062408,1,0,2,16,8,0.1737561227120392,1,-1,0,3,1
26,1,1,1,0,0.08055558710292898,1,0,2,16,8,0.2941479762825471,3,-1,0,3,1
31,1,1,1,0,0.07880660072003726,1,0,2,16,8,0.1768497035318381,1,-1,0,3,1
29,0,2,1,0,0.07961295158487695,1,1,2,16,8,0.20649651972157773,1,-1,0,3,1
37,7,0,1,0,0.07831824737935969,1,0,2,16,8,0.15906161381799433,2,-1,0,3,1
33,1,2,1,0,0.07303721706738141,1,0,2,16,8,0.19721577726218098,2,-1,0,3,1
24,9,2,1,0,0.08240678697572998,1,0,2,16,8,0.2345965455014179,1,-1,0,3,1
50,0,0,1,0,0.08188436247174932,1,0,2,16,8,0.34493426140757927,1,-1,0,3,1
27,9,2,2,0,0.11985099544582117,1,0,2,16,8,0.23072956947666926,1,-1,0,3,1
54,4,2,2,0,0.1276532918422278,1,0,2,16,8,0.3338489301366332,3,-1,0,3,1
30,9,2,1,0,0.08756288968893028,1,0,2,16,8,0.30703789636504253,5,-1,0,3,1
34,1,1,0,0,0.08565490454395748,1,1,2,16,8,0.2737819025522042,4,-1,0,3,1
37,4,2,1,0,0.08675653882409058,1,0,2,16,8,0.3054911059551431,4,-1,0,3,1
41,0,2,1,0,0.0893459472351251,1,0,2,19,8,0.2268625934519206,1,-1,0,3,1
47,1,1,1,0,0.08756288968893028,1,0,2,19,8,0.2425882959525651,2,-1,0,3,1
31,0,1,1,0,0.07886338599220906,1,0,2,19,8,0.15596803299819542,1,-1,0,3,1
31,1,1,1,0,0.08632497075558483,1,0,2,19,8,0.262954369682908,4,-1,0,3,1
43,7,0,1,0,0.08957308832381233,1,0,2,19,8,0.14178912090745038,3,-1,0,3,1
37,4,0,2,0,0.07914731235306811,1,0,2,19,8,0.41763341067285387,2,-1,0,3,1
30,9,2,2,0,0.08775595961431443,1,1,2,19,8,0.24877545759216294,6,-1,0,3,1
41,9,1,1,0,0.08345163598369128,1,0,2,19,8,0.14874967775199793,5,-1,0,3,1
36,1,1,1,0,0.12816435929177408,1,0,2,20,8,0.11446249033255994,1,-1,0,3,1
